
Matrix k: 0

0.22,0.04,0.01,0.22,0.02,0.23,0.00,0.01,0.37,0.23,0.00,0.09,0.19,
0.04,0.04,0.07,0.17,0.48,0.19,0.01,0.00,0.23,0.16,0.24,0.40,0.21,
0.47,0.24,0.21,0.11,0.08,0.06,0.37,0.23,0.00,0.14,0.08,0.49,0.03,
0.24,0.20,0.00,0.02,0.15,0.10,0.23,0.16,0.14,0.00,0.39,0.32,0.50,
0.07,0.04,0.03,0.05,0.11,0.01,0.00,0.24,0.08,0.39,0.00,0.16,0.36,
0.72,0.34,0.13,0.29,0.11,0.31,0.09,0.40,0.49,0.32,0.16,0.00,0.04,
0.29,0.01,0.21,0.32,0.31,0.15,0.19,0.21,0.03,0.50,0.36,0.04,0.00,

Matrix k: 0

72705.00,78885.00,78064.00,78842.00,78348.00,78645.00,78237.00,78665.00,78339.00,78314.00,78299.00,78490.00,78468.00,
78175.00,72447.00,78205.00,78950.00,78296.00,78377.00,78405.00,78296.00,77934.00,78836.00,78106.00,78408.00,78694.00,
78061.00,78138.00,72590.00,78506.00,78536.00,78790.00,78654.00,77879.00,78242.00,78287.00,78548.00,78428.00,78638.00,
78957.00,78719.00,78279.00,72413.00,78672.00,78023.00,77957.00,78357.00,78499.00,78633.00,78555.00,78373.00,78593.00,
78184.00,78572.00,77915.00,78539.00,72663.00,78152.00,78235.00,78064.00,78376.00,78475.00,78630.00,78733.00,78622.00,
78652.00,78289.00,77989.00,78720.00,78348.00,72723.00,78354.00,79065.00,78449.00,78420.00,79145.00,78066.00,78839.00,
78607.00,78505.00,78368.00,78441.00,78473.00,78516.00,72338.00,77468.00,78517.00,78445.00,78368.00,78813.00,78788.00,
78555.00,78464.00,78506.00,78305.00,78454.00,78646.00,78551.00,72534.00,78126.00,78502.00,78569.00,78193.00,78977.00,
78350.00,78027.00,78499.00,78055.00,78119.00,77974.00,78477.00,78669.00,72238.00,78658.00,78570.00,78895.00,78177.00,
78179.00,78959.00,78666.00,78526.00,78282.00,78309.00,78597.00,78492.00,78540.00,71790.00,78414.00,78664.00,78272.00,
78027.00,78288.00,78548.00,77926.00,78170.00,77851.00,78446.00,77858.00,77982.00,78099.00,72635.00,77985.00,78356.00,
79078.00,78551.00,78659.00,78606.00,78860.00,77929.00,77781.00,78088.00,78588.00,78993.00,78213.00,72606.00,78871.00,
78617.00,78091.00,78459.00,78308.00,78762.00,78580.00,78068.00,78320.00,78775.00,78074.00,78425.00,77947.00,72457.00,

Matrix k: 1

31524.00,11341.00,11376.00,11937.00,12182.00,12326.00,13011.00,13472.00,14264.00,15986.00,16768.00,17600.00,19179.00,
11323.00,10540.00,4864.00,5063.00,5220.00,5331.00,5760.00,6090.00,6499.00,7534.00,7943.00,9011.00,9963.00,
11451.00,4664.00,11061.00,5264.00,5552.00,5866.00,5968.00,6126.00,6873.00,7589.00,8256.00,9059.00,10219.00,
11864.00,4915.00,5270.00,11519.00,5870.00,6080.00,6301.00,6658.00,6896.00,7854.00,8519.00,9341.00,10237.00,
12229.00,5195.00,5389.00,5875.00,12006.00,6571.00,6887.00,7273.00,7610.00,8028.00,8731.00,9532.00,10732.00,
12334.00,5381.00,5811.00,6022.00,6735.00,12704.00,7831.00,8104.00,8282.00,8741.00,8990.00,9842.00,10974.00,
12993.00,5749.00,5964.00,6476.00,6999.00,7720.00,13282.00,8886.00,9509.00,9826.00,9878.00,10379.00,10975.00,
13539.00,6031.00,6180.00,6657.00,7220.00,7974.00,9137.00,14415.00,10671.00,11454.00,11368.00,11372.00,11891.00,
14053.00,6548.00,6734.00,6891.00,7405.00,8400.00,9234.00,10494.00,15889.00,12728.00,13120.00,13078.00,12908.00,
16054.00,7520.00,7751.00,7799.00,8191.00,8774.00,10089.00,11256.00,13036.00,17484.00,15334.00,15720.00,15283.00,
16726.00,8116.00,8151.00,8485.00,8730.00,8940.00,9891.00,11400.00,12936.00,15063.00,20209.00,16336.00,16373.00,
18284.00,8850.00,9185.00,9383.00,9699.00,9807.00,10140.00,11635.00,13138.00,15713.00,16313.00,23223.00,17797.00,
19558.00,9931.00,10347.00,10266.00,10609.00,10976.00,11205.00,11652.00,13001.00,15394.00,16458.00,17529.00,26782.00,

Matrix k: 2

43.36,14.38,14.57,15.14,15.55,15.67,16.63,17.13,18.21,20.41,21.42,22.42,24.44,
14.48,14.55,6.22,6.41,6.67,6.80,7.35,7.78,8.34,9.56,10.17,11.49,12.66,
14.67,5.97,15.24,6.71,7.07,7.45,7.59,7.87,8.78,9.69,10.51,11.55,12.99,
15.03,6.24,6.73,15.91,7.46,7.79,8.08,8.50,8.78,9.99,10.84,11.92,13.03,
15.64,6.61,6.92,7.48,16.52,8.41,8.80,9.32,9.71,10.23,11.10,12.11,13.65,
15.68,6.87,7.45,7.65,8.60,17.47,9.99,10.25,10.56,11.15,11.36,12.61,13.92,
16.53,7.32,7.61,8.26,8.92,9.83,18.36,11.47,12.11,12.53,12.60,13.17,13.93,
17.24,7.69,7.87,8.50,9.20,10.14,11.63,19.87,13.66,14.59,14.47,14.54,15.06,
17.94,8.39,8.58,8.83,9.48,10.77,11.77,13.34,22.00,16.18,16.70,16.58,16.51,
20.53,9.52,9.85,9.93,10.46,11.20,12.84,14.34,16.60,24.35,19.56,19.98,19.53,
